City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Bangalore,303.7250061,302.4791565,04-2014
Bhopal,304.4608459,304.3491821,04-2014
Bhubaneswar,303.3974915,303.3974915,04-2014
Chennai,302.9425049,302.9425049,04-2014
Delhi,300.2733459,300.2733459,04-2014
Hyderabad,305.8125,305.3616638,04-2014
Jaipur,302.6833496,302.6833496,04-2014
Kolkata,305.0508423,304.2791748,04-2014
Mumbai,302.7633362,302.7633362,04-2014
Pune,302.7633362,302.7633362,04-2014
Ahmedabad,307.3451843,307.2959595,05-2014
Bangalore,303.8548584,301.4806519,05-2014
Bhopal,307.4363098,306.5822754,05-2014
Bhubaneswar,305.3193665,305.3193665,05-2014
Chennai,305.3830566,305.3830566,05-2014
Delhi,305.2580566,305.2580566,05-2014
Hyderabad,307.4403381,306.0621033,05-2014
Jaipur,306.3008118,306.3008118,05-2014
Kolkata,305.750824,304.9411316,05-2014
Mumbai,304.1161194,304.1161194,05-2014
Pune,304.1161194,304.1161194,05-2014
Ahmedabad,308.3724976,307.7075195,06-2014
Bangalore,301.3724976,298.2483521,06-2014
Bhopal,308.4691772,306.9075012,06-2014
Bhubaneswar,305.9358521,305.9358521,06-2014
Chennai,305.9775085,305.9775085,06-2014
Delhi,311.1216736,311.1216736,06-2014
Hyderabad,305.1333313,302.8250122,06-2014
Jaipur,309.5341797,309.5341797,06-2014
Kolkata,304.8983459,304.7625122,06-2014
Mumbai,301.3825073,301.3825073,06-2014
Pune,301.3825073,301.3825073,06-2014
Ahmedabad,306.0774231,304.3661499,07-2014
Bangalore,298.0484009,296.7233887,07-2014
Bhopal,303.0096741,302.4927368,07-2014
Bhubaneswar,298.9757996,298.9757996,07-2014
Chennai,303.1419373,303.1419373,07-2014
Delhi,308.3500061,308.3500061,07-2014
Hyderabad,299.7717896,298.6645203,07-2014
Jaipur,306.8040466,306.8040466,07-2014
Kolkata,301.897583,300.3693542,07-2014
Mumbai,299.2879028,299.2879028,07-2014
Pune,299.2879028,299.2879028,07-2014
