system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00010000000000000e88,India,Punjab,Mansa,2018-01-01,6.871419553196184
0_00010000000000000e89,India,Punjab,Moga,2018-01-01,6.952454310206267
0_00010000000000000e8a,India,Punjab,Muktsar,2018-01-01,6.859421651226333
0_00010000000000000e8b,India,Punjab,Nawan Shehar,2018-01-01,6.818573748940023
0_00010000000000000e90,India,Rajasthan,Bharatpur,2018-01-01,7.764986275081879
0_00010000000000000e96,India,Rajasthan,Dhaulpur,2018-01-01,8.468728268208965
0_00010000000000000e99,India,Rajasthan,Jaipur,2018-01-01,6.422136192207657
0_00010000000000000e9f,India,Rajasthan,Kota,2018-01-01,7.822822476746578
0_00010000000000000ea6,India,Rajasthan,Udaipur,2018-01-01,6.154538694941897
0_00010000000000000ea7,India,Rajasthan,Baran,2018-01-01,8.020244982020015
0_00010000000000000ea8,India,Rajasthan,Dausa,2018-01-01,7.181257080194007
0_00010000000000000eab,India,Rajasthan,Rajsamand,2018-01-01,6.384531808246416
0_00010000000000000ebd,India,Tamil Nadu,Tiruchchirappalli,2018-01-01,34.109766928429906
0_00010000000000000ebf,India,Tamil Nadu,Ariyalur,2018-01-01,35.37200316069998
0_00010000000000000ec1,India,Tamil Nadu,Cuddalore,2018-01-01,35.38423739008532
0_00010000000000000ec2,India,Tamil Nadu,Kancheepuram,2018-01-01,34.13738057888863
0_00010000000000000ec3,India,Tamil Nadu,Karur,2018-01-01,35.338187509051544
0_00010000000000000ec7,India,Tamil Nadu,Perambalur,2018-01-01,32.19595516458646
0_00010000000000000ec9,India,Tamil Nadu,Thiruvallur,2018-01-01,31.9629282708068
0_00010000000000000eca,India,Tamil Nadu,Tiruvannamalai,2018-01-01,29.72811647395063
0_00010000000000000ecb,India,Tamil Nadu,Vellore,2018-01-01,26.88264819224665
0_00010000000000000ecc,India,Tamil Nadu,Villupuram,2018-01-01,32.40998779992527
0_00010000000000000ecd,India,Tripura,North Tripura,2018-01-01,21.360912110872505
0_00010000000000000ece,India,Tripura,South Tripura,2018-01-01,20.39497610573381
0_00010000000000000ed0,India,Tripura,Dhalai,2018-01-01,20.785647697390413
0_00010000000000000edd,India,West Bengal,Dakshin Dinajpur,2018-01-01,15.470560726119146
0_00010000000000000ede,India,West Bengal,East Midnapore,2018-01-01,17.699351866773775
0_00010000000000000ee2,India,West Bengal,Uttar Dinajpur,2018-01-01,15.356311416227687
0_00010000000000000ee3,India,West Bengal,West Midnapore,2018-01-01,16.590711451948987
0_00010000000000000eee,India,Bihar,Bhagalpur,2018-01-01,13.528295929742166
0_00010000000000000ef8,India,Bihar,Munger,2018-01-01,13.125868118932939
0_00010000000000000eff,India,Bihar,Rohtas,2018-01-01,10.638113682883864
0_00010000000000000f00,India,Bihar,Saharsa,2018-01-01,13.496645048451244
0_00010000000000000f03,India,Bihar,Sitamarhi,2018-01-01,12.044615861514457
0_00010000000000000f07,India,Bihar,Banka,2018-01-01,12.880463330512852
0_00010000000000000f08,India,Bihar,Bhabua,2018-01-01,10.287741531779677
0_00010000000000000f09,India,Bihar,Bhojpur,2018-01-01,11.316903180830273
0_00010000000000000f0a,India,Bihar,Buxar,2018-01-01,10.814216298617579
